title,text,subject,date,is_fake
 WATCH: Chuck Todd Puts The Screws To Mitch McConnell For Not Giving Merrick Garland A Chance,"Mitch McConnell is still making ridiculous excuses to justify what Senate Republicans did to Supreme Court nominee Merrick Garland.When Antonin Scalia passed away in February 2016, his body was not even cold before Republicans declared that they would refuse to hold hearings to confirm any replacement chosen by President Obama.And so, when President Obama selected a centrist judge named Merrick Garland to be the next Supreme Court Justice, Republicans immediately refused to do their job as outlined by the Constitution.Republicans tried to excuse their behavior by claiming that Democrats would have done the same thing even though Democrats have never once refused to grant a nominee a confirmation hearing. Furthermore, Republicans claimed that no Supreme Court nominee has ever been approved by the Senate in an election year.McConnell made the same claim on Sunday after Chuck Todd grilled him in response to Republican insistence that Donald Trump s Supreme Court nominee Neil Gorsuch be confirmed immediately. The tradition had been not to confirm vacancies in the middle of a presidential [election] year,  McConnell said.  You d have to go back 80 years to find the last time it happened. Everyone knew, including President Obama s former White House counsel, that if the shoe had been on the other foot, [Democrats] wouldn t have filled a Republican president s vacancy in the middle of a presidential election. Again, Democrats have never refused to hold a confirmation hearing for a Supreme Court nominee.Also, Mitch McConnell is ignorant of Senate history.As it turns out, there have been several election year confirmations of Supreme Court nominees and we don t have to go back 80 years to find one.In fact, the last one occurred only 29 years ago when the Senate confirmed Justice Anthony Kennedy in 1988 during Ronald Reagan s last year in office.It also happened in 1956 when Dwight Eisenhower nominated William Brennan. The Senate confirmed him despite it being an election year.In 1940, also an election year, Franklin Roosevelt nominated Frank Murphy to the Supreme Court and the Senate confirmed him.So contrary to what Mitch McConnell says, there is plenty of precedent in our history proving that the Senate has no such  tradition  of not confirming Supreme Court nominees during an election year.Todd challenged McConnell for not simply holding a confirmation hearing and giving Garland an up or down vote. Why not put him up for a vote?  Todd asked.  Any senator can have a rationale to not vote for a confirmation. Why not put Merrick Garland on the floor and if the rationale is,  You know what? Too close to an election,  then vote no? Look, we litigated that last year,  a flustered McConnell replied.  The American people decided that they wanted Donald Trump to make the nomination, not Hillary Clinton. Actually, the American people voted for Hillary Clinton. She won the popular vote by nearly 3 million votes.McConnell then claimed that there s  no rational reason  to not vote to confirm Gorsuch. But that s not true either. You see, by refusing to grant Garland a confirmation hearing, Republicans set a precedent and gave Democrats all the reasons they need to block Gorsuch at all costs.Plus, Gorsuch has a terrible record and he was nominated by Trump, which is all the more reason for Democrats to block him.If Senate Republicans had not acted like petulant children in response to Merrick Garland, perhaps Democrats would have been more open. But the way Republicans treated Garland was un-American and totally outrageous. They disgraced the Senate with their conduct and Democrats now have precedent to respond in kind.But McConnell balked when Todd challenged him to take up a resolution that says Supreme Court vacancies won t be filled during an election year. In short, McConnell knows that if a Republican had been president in 2016, Senate Republicans would have rushed any Supreme Court nomination through. Because in the end, Republicans are hypocrites.Here s the video via YouTube.There is no excuse for Democrats to not block Neil Gorsuch from becoming a Supreme Curt Justice. In fact, if Republicans somehow get him confirmed, Democrats should impeach him as soon as they take back control of the Senate. This Supreme Court seat rightfully belongs to Merrick Garland. He deserves a fair confirmation hearing before Republicans are ever able to nominate someone to the Supreme Court again. Until then, Republican nominees should be the same and worse than the way Republicans treated Merrick Garland.And Republicans only have themselves to blame.Featured Image: Screenshot",News,"April 2, 2017",True
ANGRY Venezuelans CHASE Their President…Bang On Pots And Yell [Video],"Scenes from the confrontation late Friday, which also appeared in videos uploaded to social media, captured the attention of Venezuelans, many of whom blame the unpopular president for the country s food shortages.In one video, Mr. Maduro tries to calm the pot-bangers by walking among them, only to be surrounded as the furious crowd yells obscenities. What is this?  an astounded voice behind the camera asks in one of the video clips.Mr. Maduro had traveled from the capital, Caracas, to Margarita Island off Venezuela s northern coast to inaugurate a number of new public housing units and give a televised address.During the speech, he denounced his opponents  calls for his removal from office, calling them  vampires  and saying they were preparing for violence.Foro Penal, a Venezuelan human rights group, said 20 people had been arrested after the protest in the island town of Villa Rosa. Mr. Maduro s office made no statement about the episode.",Government News,"Sep 3, 2016",True
 Cruz Trying To Hold Fiorina’s Hand Is More Awkward Than A Middle School Dance (VIDEO),"When Ted Cruz announced Carly Fiorina as his running mate last week, it left many, many people scratching their heads. It d be like a football team getting their finger sizes measured for Super Bowl rings after they ve already been eliminated from making the playoffs. It just didn t make any sense whatsoever. It was clearly a move to try to get media attention (which worked) and in hopes of helping him win the Republican nomination (which it won t).Add to this how awkward of a pairing Cruz and Fiorina make. They go together like orange juice and toothpaste, where the only thing left will be the bitter taste left in everyone s mouths after witnessing their desperation.If you don t believe how awkward they are together, then by all means, witness it for yourselves.Here s Cruz trying to grab Fiorina s hand in the typical politician power pose with their running mate. Or in Cruz s case, his  running mate. Carly Fiorina Gives Ted Cruz a Hand (by @VicBergerIV) (Vine by @superdeluxe) https://t.co/au7opXLkro  Vic Berger IV (@VicBergerIV) April 27, 2016Now, add that together with the fact that both are heavily disliked amongst not only liberals, but conservatives as well, including many in Washington, and you have a recipe for utter failure. Unfortunately, Cruz is gonna have to learn this lesson the hard way, because common sense and candor are not his forte.Featured image via video screen capture",News,"May 2, 2016",True
"Trump meets insurers, promises catastrophic year for Obamacare","WASHINGTON (Reuters) - President Donald Trump told several chief executives of large insurance companies on Monday that 2017 will be a “catastrophic” year for the Affordable Care Act as he seeks to make good on a campaign promise to repeal the measure. The Republican president told the insurers they must all work together to save Americans from the law known as Obamacare and try to bring down health care prices. He said he hoped to work with Democrats on a health care plan to repeal the law,  which provided coverage for millions of uninsured Americans. ",politicsNews,"February 27, 2017 ",False
South Africa's Ramaphosa steps up criticism ahead of ANC leadership vote,"JOHANNESBURG (Reuters) - South African Deputy President Cyril Ramaphosa, a leading contender to become head of the ruling ANC in December, stepped up his criticism of the government on Sunday, saying state-owned companies had been  captured  and funds looted from them. Ramaphosa s remarks during a speech to an African National Congress meeting in the old diamond-mining town of Kimberley  were tougher than others he has made on government graft, signaling the issue will be a main theme of his campaign.  He also took aim   without naming them - at the wealthy Gupta family, friends of President Jacob Zuma who have been accused of using undue influence to win lucrative state contracts. Zuma and the Guptas have denied any wrongdoing.  Many of these state-owned enterprises have been captured by certain people, by a certain family,  Ramaphosa said.   All of our state-owned enterprises have been captured and we are saying we want to see an end to state capture and the money that has been stolen, we want it back,  he said, to roars of approval from the audience.  South Africa s top prosecutor said on Wednesday police were examining a trove of leaked documents detailing relations between the Guptas and Zuma, but it was too early to say if a prosecution should be launched. Ramaphosa said in May that South Africa was in danger of becoming a  mafia state  and he took a swipe in July at the Guptas over media reports that state funds were diverted in 2013 to pay for a lavish Gupta family wedding. But Sunday s remarks about a  certain family  were more pointed and come as the race heats up for the ANC s top spot. The next head of the party, who will be selected in December, will be its presidential candidate in 2019 national elections. Ramaphosa s main challenger, veteran politician and Zuma s ex-wife Nkosazana Dlamini-Zuma, will next week be sworn in as a member of parliament, a move which could see the former minister brought back into the cabinet, raising her profile. Analysts say she has the backing of Zuma s well-established patronage network as well as organizations such as the party s Women s League. Ramaphosa is a trade unionist-turned-business tycoon who has the backing of a diverse group of unions, communists and investors who do not always see eye to eye but want to rid the ANC of Zuma s influence and legacy.  The opposition has long accused Zuma of sleaze and influence-peddling while in office. He survived a no-confidence vote in parliament on Aug. 8 but 30 ANC lawmakers voted with the opposition, indicating deep divisions in the party that has dominated South African politics since the end of apartheid in 1994. ",worldnews,"September 10, 2017 ",False
EU's Tusk appealed to Rajoy to avoid escalation in Catalonia,"BRUSSELS (Reuters) - European Council President Donald Tusk appealed to Spanish Prime Minister Mariano Rajoy on Monday to seek ways to avoid escalation in Catalonia and the use of force following Sunday s independence referendum in the region. After speaking to Rajoy, Tusk tweeted:  Sharing his constitutional arguments, I appealed for finding ways to avoid further escalation and use of force.  ",worldnews,"October 2, 2017 ",False
 This Is What REAL Christians Do When Their Priest Preaches To Ban Abortion (VIDEO),"The members of a Roman Catholic church in Poland have demonstrated to the world how compassionate Christians can shut down priest when they preach politics, not religion, from the pulpit.The women were at a Roman Catholic church in Gdansk, which is spearheading the outlawing of abortion in the Eastern European country. The Priest began reading a letter to the congregation in favor of the ban, which triggered a large number of mostly female worshippers to stand, turn their back on the Priest, and leave the church.As The Journal reports:The message from Poland s Catholic bishops, presented at churches nationwide, called on lawmakers to back the proposal being considered by Poland s right-wing government.The move would tighten what are already some of Europe s most restrictive laws on pregnancy termination. Current legislation, dating from 1993, already bans all terminations except when pregnancy results from rape or incest, poses a health risk to the mother, or if the foetus is severely deformed.Pro-life activists support even tougher legislation but the move has sparked a backlash and thousands of marchers took part in a protest outside the country s parliament in Warsaw yesterday, as well as in several other cities.The move is in sharp contrast to Christian conservatives in the United States, who are actually rallying behind candidates and religious leaders who wear their prejudice and intolerance on their sleeve. Even Pope Francis is being pilloried by the Christian Right in America for his refusal to hate and preach against Muslims.In fact, there is not a candidate left in the GOP race for president who believes in a woman s reproductive rights over her own body. Donald Trump believes women should be  punished for having abortions. Ted Cruz would outlaw abortion, with  no exceptions    even in cases of incest or rape. Even the candidate who is selling himself as the moderate, John Kasich, also calls for a total ban on abortion. There is no pro-choice version of the Republican message anymore.In economic policy, the ultra-right of the conservative movement has killed off the Eisenhower Republicans   the GOP lawmakers and voters who believed in investment, taxation and welfare as the pillars which support free enterprise and a stable, prosperous society. At the same time, the evangelists have killed any hope of social liberalism in the party.What s left behind is a cold, cruel, and crazy mob, who simply do not care about facts, evidence or rational discussion. They are zealots. Let us hope that for the sake of the Republican Party, and the country, that a complete slaughtering in election 2016 brings everyone back to their senses. https://www.facebook.com/Channel4News/videos/10153656792786939/?__mref=message_bubbleFeatured Image via Screengrab",News,"April 5, 2016",True
Pakistan debates how to fill education gaps,"ISLAMABAD (Reuters) - Two young boys kneel over small white tables, intently studying the Koran at a madrassa in Pakistan. The Al-Nadwa Madrassa in the hill station of Murree, 30 kilometers (19 miles) from the capital, Islamabad, is part of an established alternative system of education in the South Asian nation. Private schools, charitable institutions and religious seminaries are stepping in to supplement government-run schools to help meet the education needs of an estimated 50 million school-age children. Despite 220,000 schools nationwide, more than 20 million children are not in school, the government said in a 2016 report. The government has pumped money into schooling, with the education budget swelling by 15 percent every year since 2010, according to education consultancy Alif Ailaan. The United Nations estimates Pakistan s current education budget at 2.65 percent of GDP, roughly $8 billion, or around $150 per student.    Private educators say the country s education problems are not only due to a lack of funds but also inadequate teaching.  It s not the number of schools, it s the quality, the attitude,  said Zeba Hussain, founder of the Mashal Schools which teaches children displaced by war in the country s north. Hussain started the charitable Mashal Schools after she met a group of refugee children while visiting the hill areas surrounding Islamabad.  Federal education director Tariq Masood said blaming teachers was unfair. He said population growth and funding were the biggest challenges faced by government schools.  Masood said government schools adhered to a nationwide curriculum that was being constantly reworked and improved.   No one who is underqualified can enter the government system. There are fewer checks in the private system,  he said.  The country s poor often send their children to one of the thousands of religious madrassas (the Arabic word for school) where students live and receive Islamic instruction.     Most operate without government oversight and some madrassas have been criticized for their hardline teachings of Islam. The madrassas say they provide shelter, three full meals, and a good education to young people whose families are unable to make ends meet.   In certain cases people send their kids because they can t even afford to feed them,  said Irfan Sher from the Al-Nadwa Madrassa.  He said Pakistan s future hinged on education for its youth.   The overall policy should be changed...they should understand that if they want to change the country the only way is to spread quality education,  he said. ",worldnews,"November 7, 2017 ",False
Pakistan official details car chase that freed kidnapped U.S.-Canadian family," (This version of the story corrects spelling of Caitlan Coleman throughout) By Asif Shahzad ISLAMABAD (Reuters) - Pakistani troops shot out the tyres of a vehicle carrying a kidnapped U.S.-Canadian couple and their children in a raid that led to the family s release after five years of being held hostage, a Pakistani security official said on Friday. U.S. drones were hovering near the northwestern Pakistani area where American Caitlan Coleman, her Canadian husband Joshua Boyle and their three children, all born in captivity, were freed, another security official said. Coleman and Boyle were held by the Taliban-linked Haqqani network after being kidnapped while backpacking in Afghanistan, and their rescue marked a rare positive note in often-fraught U.S.-Pakistan relations. The family flew out of Pakistan on Friday, according to a Pakistani airport official who saw them. It was not clear whether they were bound for Canada or the United States. A senior Pakistani security source on Friday detailed how the family were freed following a car chase in the northwestern tribal region bordering Afghanistan. He said Pakistani troops and intelligence agents, acting on a U.S. intelligence tip, zeroed in on a vehicle holding the family as they were being moved into Kurram tribal agency near the town of Kohat, some 60 km (37 miles) inside Pakistan. Agents from Pakistan s Inter Services Intelligence (ISI) spy agency and soldiers attempted to intercept the vehicle, but it sped away, according to the security source.  Our troops fired at the vehicle and burst its tyres,  he said, declining to be identified because he is not authorised to speak openly to the media. The kidnappers managed to escape, the security official added, saying the troops wouldn t fire at the fleeing captors for fear of harming the hostages. The army recovered the hostages safely from the car. Army spokesman Major General Asif Ghafoor told NBC News that the vehicle s driver and another militant had escaped to a nearby refugee camp. The family s rescue has been hailed by U.S. President Donald Trump as a  positive moment  for U.S.-Pakistan relations, which have frayed in recent years amid Washington s assertions that Islamabad has not been doing enough to tackle Haqqani militants who are believed to be on Pakistani soil. Trump, in a statement, said the release of the hostages showed Pakistan was acquiescing to  America s wishes for it to do more to provide security in the region . A second Pakistani security official, speaking on condition of anonymity, said U.S. drones on Wednesday had been seen circling Kohat, suggesting U.S. co-operation included sophisticated surveillance inside Pakistan. Kohat is deep inside Pakistani territory, next to the eastern edge of Kurram agency in Khyber-Pakhtunkhwa province  - outside the Afghan frontier zone where U.S. drones have in the past been tolerated by Pakistan. The U.S. embassy and the Pakistani military did not comment on the drone report. However, a Taliban commander in Pakistan with knowledge of the hostage family said U.S. drones flying in the area prompted their captors to move them.  We took care of this family like our own family members and special guests, but after frequent flying of U.S. drones on Kurram tribal region and its adjoining areas, it was decided to move them to a safer place,  said the Taliban official on condition of anonymity.  They were being shifted to a safer place when captured by the Pakistani forces.   Pakistani officials bristle at U.S. claims Islamabad is not doing enough to tackle Islamist militants, particularly the Haqqanis. After the release of the family, they emphasised the importance of co-operation and intelligence sharing by Washington, which has threatened to cut military aid and other punitive measures against Pakistan. Pakistan s military indicated the family were rescued shortly after entering Pakistan from Afghanistan, and a government official repeated that assertion on Friday.  We have been taking on the terrorists... So we have taken action based on the intelligence that was provided by the U.S. side,  said Foreign Ministry spokesman Nafees Zakaria. He added that he had no other details on the operation  maybe because they were abducted in Afghanistan, they were there in Afghanistan, and that could be the reason why you have not heard much about it . However, two Taliban sources with knowledge of the family s captivity said they had been kept in Pakistan in recent years. A U.S. government source in Washington also said there was no indication the family had been in Afghanistan. The Haqqani network operates on both sides of the porous Afghan-Pakistani border but senior militants have acknowledged they moved a major base of operations to Kurram agency in the tribal areas. The United States and Afghanistan say that safe havens inside Pakistan allow the Taliban, including the Haqqani network, to plan and launch attacks against the Western-backed Afghan government and U.S. and other foreign troops that support them. The Taliban have been fighting for 16 years to re-establish their ultra-Islamist regime that was toppled in a U.S.-backed military operation over sheltering the al Qaeda terrorist network that planned the Sept. 11, 2001, attacks on U.S. cities. ",worldnews,"October 13, 2017 ",False
 Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,"Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin s 1st District. Bryce is a union ironworker who has been campaigning for all of one day, and he s already raised $100,000. That is a lot for a new face who s a Democrat living in Republican-land and running in a district that s gone to Paul Ryan every two years since 1999.Bryce isn t just a union ironworker in Republican-land, Wisconsin, though. He s an Army veteran who enlisted right after high school, and then worked his way up to being an ironworker through apprenticeship. His mother suffers from multiple sclerosis, his father is in an assisted living facility, and Randy himself is a cancer survivor. He s campaigning primarily on healthcare right now, and he says on his website: What Paul Ryan and the Republicans are doing to take health care away from millions of us, to make it cost more and cover less, and to allow the protections we ve gained to be stripped away   it s just unacceptable. Bryce has an uphill battle to fight. Ryan is very well-connected both in the 1st District and across America. However, Bryce will work to tie Ryan to Donald Trump as much as possible, working off Democrats  hopes that the Trump effect will help flip Congress next year.But it may not be that terrible a climg. Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent. That could very well pull down his popularity in his own district. He s also starting to get a reputation for making every excuse in the book for Trump. Regarding obstruction of justice, Ryan lamely claimed that Trump is new and doesn t know what s appropriate and what s not when it comes to interacting with various agency heads, particularly those in the law enforcement and intelligence communities. Ryan gave him a pass as though he s a little child navigating his way through the world for the first time.He s also confident that Trump will approve of the massively unpopular GOP healthcare bill whatever form that ends up taking and once again blasted the ACA while claiming that their bill is ever so much better.Ryan is almost inextricably linked to Trump right now, and as Trump s base shrinks, so will Ryan s. What Bryce is doing and clearly, what many are hoping he can do is taking advantage of the possibility that a hole will open up in the 1st District because of Trump.Featured image via Win McNamee/Getty Images",News,"June 21, 2017",True
